Name_WP,Type_Park,Section,Parameter,Value,Unit
,,,L_collector,0.3831e-3,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,20,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.05,pu
,,,Active_ref,0.9,pu
PE_Aurora,WECC,Wind_park_parameters,N_wind_turbines,74,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,74,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.1010,pu
,,,Active_ref,0.9400,pu
PE_SanGabriel,WECC,Wind_park_parameters,N_wind_turbines,110,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,110,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.0027,pu
,,,Active_ref,0.8350,pu
PE_MallecoNorte,WECC,Wind_park_parameters,N_wind_turbines,83,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,83,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.0554,pu
,,,Active_ref,0.9400,pu
PE_MallecoSur,WECC,Wind_park_parameters,N_wind_turbines,81,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,81,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.1373,pu
,,,Active_ref,0.6123,pu
PE_Renaico_I,WECC,Wind_park_parameters,N_wind_turbines,56,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,56,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.1400,pu
,,,Active_ref,0.9110,pu
PE_Los_Olmos,WECC,Wind_park_parameters,N_wind_turbines,65,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,65,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.1056,pu
,,,Active_ref,0.9700,pu
PE_Tolpan_Sur,WECC,Wind_park_parameters,N_wind_turbines,50,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,50,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.0554,pu
,,,Active_ref,0.8820,pu
PE_Lomas_de_Duqueco,WECC,Wind_park_parameters,N_wind_turbines,37,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),66,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,37,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.0032,pu
,,,Active_ref,0.5238,pu
PE_El_Arrayan,WECC,Wind_park_parameters,N_wind_turbines,70,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0,Ohm
,,,L_ZigZag,0.036391861,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.381e-3,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,70,
,,,Q_ctrlMode,1,
,,,Reactive_ref,0.0180,pu
,,,Active_ref,0.2229,pu
PE_Pta_Palmeras,WECC,Wind_park_parameters,N_wind_turbines,27,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0,Ohm
,,,L_ZigZag,0.036391861,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.381e-3,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,27,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.1500,pu
,,,Active_ref,0.8310,pu
PE_Talinay_O_P,WECC,Wind_park_parameters,N_wind_turbines,97,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0,Ohm
,,,L_ZigZag,0.036391861,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.381e-3,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,97,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.0037,pu
,,,Active_ref,0.4165,pu
PE_Monte_Redondo,WECC,Wind_park_parameters,N_wind_turbines,29,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0,Ohm
,,,L_ZigZag,0.036391861,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.381e-3,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,29,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.0166,pu
,,,Active_ref,0.3497,pu
PE_CANELA_II,WECC,Wind_park_parameters,N_wind_turbines,38,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,38,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.1316,pu
,,,Active_ref,0.2937,pu
PE_LOS_CURUROS,WECC,Wind_park_parameters,N_wind_turbines,69,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,69,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.0730,pu
,,,Active_ref,0.6530,pu
PE_PUNTA_SIERRA,WECC,Wind_park_parameters,N_wind_turbines,51,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0,Ohm
,,,L_ZigZag,0.036391861,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.381e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,51,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.1099,pu
,,,Active_ref,0.0153,pu
PE_Cerro_Pampa_Tigre,WECC,Wind_park_parameters,N_wind_turbines,180,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1,Ohm
,,,L_ZigZag,0.3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.381e-3,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,180,
,,,Q_ctrlMode,1,
,,,Reactive_ref,0.0054,pu
,,,Active_ref,0.6109,pu
PE_Sierra_Gorda,WECC,Wind_park_parameters,N_wind_turbines,74,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,74,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.0154,pu
,,,Active_ref,0.6109,pu
PE_Tchamma,WECC,Wind_park_parameters,N_wind_turbines,100,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,100,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.0750,pu
,,,Active_ref,0.48,pu
PE_Calama34,WECC,Wind_park_parameters,N_wind_turbines,97,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.01,Ohm
,,,L_ZigZag,0.036391861,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.381e-3,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,97,
,,,Q_ctrlMode,1,
,,,Reactive_ref,0.0057,pu
,,,Active_ref,0.2777,pu
PE_Cabo_Leones_I,WECC,Wind_park_parameters,N_wind_turbines,55,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,33,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0,Ohm
,,,L_ZigZag,0.036391861,H
,,Single_wind_turbine,Snom_WP,2.1,MVA
,,,Inverter_nominal_voltage,0.69,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.04804,Ohm
,,,L_collector,0.219e-4,H
,,,C_collector,2.59e-6,F
,,Operating_conditions,N_WT_inServ,55,
,,,Q_ctrlMode,1,
,,,Reactive_ref,0.0436,pu
,,,Active_ref,0.4182,pu
PE_Valle_de_los_Vientos,WECC,Wind_park_parameters,N_wind_turbines,75,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),110,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.01,Ohm
,,,L_ZigZag,0.036391861,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-3,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,75,
,,,Q_ctrlMode,1,
,,,Reactive_ref,0.0041,pu
,,,Active_ref,0.2825,pu
PE_Taltal_Parinas,WECC,Wind_park_parameters,N_wind_turbines,180,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.005,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,180,
,,,Q_ctrlMode,1,
,,,Reactive_ref,0.0000,pu
,,,Active_ref,0.32,pu
PE_Llanos_del_Viento,WECC,Wind_park_parameters,N_wind_turbines,103,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.005,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,103,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.0560,pu
,,,Active_ref,0.5417,pu
PE_La_Estrella,WECC,Wind_park_parameters,N_wind_turbines,32,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),110,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0,Ohm
,,,L_ZigZag,0.036391861,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.005,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-3,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,32,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.1069,pu
,,,Active_ref,0.8438,pu
PE_San_Juan_I_II,WECC,Wind_park_parameters,N_wind_turbines,112,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0,Ohm
,,,L_ZigZag,0.036391861,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.005,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.381e-3,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,112,
,,,Q_ctrlMode,1,
,,,Reactive_ref,0.0000,pu
,,,Active_ref,0.175,pu
PE_Ca_Man_Lce,WECC,Wind_park_parameters,N_wind_turbines,75,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),110,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0,Ohm
,,,L_ZigZag,0.036391861,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.005,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-3,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,75,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.3939,pu
,,,Active_ref,0.8045,pu
PE_Ckani,WECC,Wind_park_parameters,N_wind_turbines,69,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.005,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,63,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.1,pu
,,,Active_ref,0.96,pu
PE_Ckani_new,WECC,Wind_park_parameters,N_wind_turbines,75,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-4,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_WT_inServ,75,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.1000,pu
,,,Active_ref,10.000,pu
PE_SUR_1,WECC,Wind_park_parameters,N_wind_turbines,150,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_wind_turbine,Snom_WP,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.2624,kVRMSLL
